Date : 2026-04-21 02:41:45
Directory : d:\Projects\C\cleonos
Total : 569 files,  108044 codes, 13937 comments, 27927 blanks, all 149908 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| docs                                                                                       |         27 |      1,511 |          0 |        365 |      1,876 |
| limine                                                                                     |        154 |     25,236 |        932 |      5,598 |     31,766 |
| limine (Files)                                                                             |          8 |        873 |          1 |        175 |      1,049 |
| limine\.github                                                                             |          6 |        210 |          0 |         59 |        269 |
| limine\.github (Files)                                                                     |          1 |          7 |          0 |          1 |          8 |
| limine\.github\workflows                                                                   |          5 |        203 |          0 |         58 |        261 |
| limine\common                                                                              |        125 |     21,620 |        875 |      4,868 |     27,363 |
| limine\common (Files)                                                                      |          7 |      2,368 |         40 |        375 |      2,783 |
| limine\common\crypt                                                                        |          2 |        185 |          3 |         44 |        232 |
| limine\common\drivers                                                                      |         12 |      1,763 |         50 |        460 |      2,273 |
| limine\common\fs                                                                           |          6 |      1,200 |         77 |        243 |      1,520 |
| limine\common\lib                                                                          |         49 |      6,940 |        201 |      1,515 |      8,656 |
| limine\common\libc-compat                                                                  |          2 |         23 |          0 |          8 |         31 |
| limine\common\mm                                                                           |          7 |      1,434 |         94 |        418 |      1,946 |
| limine\common\protos                                                                       |         14 |      4,509 |        278 |      1,031 |      5,818 |
| limine\common\pxe                                                                          |          4 |        396 |          7 |         97 |        500 |
| limine\common\sys                                                                          |         22 |      2,802 |        125 |        677 |      3,604 |
| limine\decompressor                                                                        |          4 |        184 |          5 |         43 |        232 |
| limine\host                                                                                |          3 |      1,216 |         33 |        237 |      1,486 |
| limine\test                                                                                |          8 |      1,133 |         18 |        216 |      1,367 |
| ramdisk                                                                                    |          2 |          4 |          0 |          3 |          7 |
| ramdisk\dev                                                                                |          1 |          0 |          0 |          1 |          1 |
| ramdisk\shell                                                                              |          1 |          4 |          0 |          2 |          6 |
| scripts                                                                                    |          2 |      1,779 |         26 |        346 |      2,151 |
| wine                                                                                       |         10 |      2,095 |          7 |        407 |      2,509 |
| wine (Files)                                                                               |          3 |         57 |          1 |         23 |         81 |
| wine\cleonos_wine_lib                                                                      |          7 |      2,038 |          6 |        384 |      2,428 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                   | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Projects\C\cleonos\.github\workflows\build-os.yml                                       | YAML             |         76 |          1 |         11 |         88 |
| d:\Projects\C\cleonos\.github\workflows\style-check.yml                                    | YAML             |        109 |          0 |         19 |        128 |
| d:\Projects\C\cleonos\CMakeLists.txt                                                       | CMake            |        906 |          0 |        108 |      1,014 |
| d:\Projects\C\cleonos\Makefile                                                             | Makefile         |        130 |          0 |         24 |        154 |
| d:\Projects\C\cleonos\README.md                                                            | Markdown         |         92 |          0 |         34 |        126 |
| d:\Projects\C\cleonos\README.zh-CN.md                                                      | Markdown         |         92 |          0 |         34 |        126 |
| d:\Projects\C\cleonos\cleonos\c\apps\ansi_main.c                                           | C                |         45 |          0 |          9 |         54 |
| d:\Projects\C\cleonos\cleonos\c\apps\ansitest_main.c                                       | C                |        145 |          0 |         33 |        178 |
| d:\Projects\C\cleonos\cleonos\c\apps\append_main.c                                         | C                |         74 |          0 |         16 |         90 |
| d:\Projects\C\cleonos\cleonos\c\apps\args_main.c                                           | C                |         49 |          0 |         13 |         62 |
| d:\Projects\C\cleonos\cleonos\c\apps\bg_main.c                                             | C                |        101 |          0 |         26 |        127 |
| d:\Projects\C\cleonos\cleonos\c\apps\bmpview_main.c                                        | C                |        331 |          0 |         81 |        412 |
| d:\Projects\C\cleonos\cleonos\c\apps\cat_main.c                                            | C                |         87 |          0 |         20 |        107 |
| d:\Projects\C\cleonos\cleonos\c\apps\cd_main.c                                             | C                |         54 |          0 |         13 |         67 |
| d:\Projects\C\cleonos\cleonos\c\apps\clear_main.c                                          | C                |         39 |          0 |          9 |         48 |
| d:\Projects\C\cleonos\cleonos\c\apps\cmd_runtime.c                                         | C                |        459 |          0 |        139 |        598 |
| d:\Projects\C\cleonos\cleonos\c\apps\cmd_runtime.h                                         | C++              |         80 |          0 |         19 |         99 |
| d:\Projects\C\cleonos\cleonos\c\apps\cp_main.c                                             | C                |        109 |          0 |         23 |        132 |
| d:\Projects\C\cleonos\cleonos\c\apps\cut_main.c                                            | C                |        210 |          1 |         54 |        265 |
| d:\Projects\C\cleonos\cleonos\c\apps\dltest_main.c                                         | C                |         38 |          0 |         11 |         49 |
| d:\Projects\C\cleonos\cleonos\c\apps\dmesg_main.c                                          | C                |         64 |          0 |         16 |         80 |
| d:\Projects\C\cleonos\cleonos\c\apps\doom\doom_compat.c                                    | C                |      1,196 |          0 |        277 |      1,473 |
| d:\Projects\C\cleonos\cleonos\c\apps\doom\doom_shim.h                                      | C++              |         17 |          1 |          3 |         21 |
| d:\Projects\C\cleonos\cleonos\c\apps\doom\doomgeneric_clks.c                               | C                |        153 |          0 |         48 |        201 |
| d:\Projects\C\cleonos\cleonos\c\apps\doom_main.c                                           | C                |         66 |          0 |         16 |         82 |
| d:\Projects\C\cleonos\cleonos\c\apps\elfrunner_kmain.c                                     | C                |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\elfrunner_main.c                                      | C                |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\exec_main.c                                           | C                |         87 |          0 |         20 |        107 |
| d:\Projects\C\cleonos\cleonos\c\apps\exit_main.c                                           | C                |         54 |          0 |         12 |         66 |
| d:\Projects\C\cleonos\cleonos\c\apps\fastfetch_main.c                                      | C                |        180 |          0 |         32 |        212 |
| d:\Projects\C\cleonos\cleonos\c\apps\fg_main.c                                             | C                |        149 |          0 |         36 |        185 |
| d:\Projects\C\cleonos\cleonos\c\apps\fsstat_main.c                                         | C                |         46 |          0 |          9 |         55 |
| d:\Projects\C\cleonos\cleonos\c\apps\grep_main.c                                           | C                |        196 |          0 |         53 |        249 |
| d:\Projects\C\cleonos\cleonos\c\apps\head_main.c                                           | C                |        165 |          0 |         46 |        211 |
| d:\Projects\C\cleonos\cleonos\c\apps\hello_main.c                                          | C                |          5 |          0 |          2 |          7 |
| d:\Projects\C\cleonos\cleonos\c\apps\help_main.c                                           | C                |         83 |          0 |          9 |         92 |
| d:\Projects\C\cleonos\cleonos\c\apps\jobs_main.c                                           | C                |        120 |          0 |         26 |        146 |
| d:\Projects\C\cleonos\cleonos\c\apps\kbdstat_main.c                                        | C                |         44 |          0 |          9 |         53 |
| d:\Projects\C\cleonos\cleonos\c\apps\kdbg_main.c                                           | C                |        213 |          0 |         56 |        269 |
| d:\Projects\C\cleonos\cleonos\c\apps\kill_main.c                                           | C                |        144 |          0 |         39 |        183 |
| d:\Projects\C\cleonos\cleonos\c\apps\libctest_main.c                                       | C                |        219 |          0 |         39 |        258 |
| d:\Projects\C\cleonos\cleonos\c\apps\libdemo_main.c                                        | C                |         19 |          0 |          6 |         25 |
| d:\Projects\C\cleonos\cleonos\c\apps\ls_main.c                                             | C                |        266 |          0 |         79 |        345 |
| d:\Projects\C\cleonos\cleonos\c\apps\memc_kmain.c                                          | C                |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\memc_main.c                                           | C                |          8 |          0 |          3 |         11 |
| d:\Projects\C\cleonos\cleonos\c\apps\memstat_main.c                                        | C                |         43 |          0 |          9 |         52 |
| d:\Projects\C\cleonos\cleonos\c\apps\mkdir_main.c                                          | C                |         57 |          0 |         14 |         71 |
| d:\Projects\C\cleonos\cleonos\c\apps\mv_main.c                                             | C                |        102 |          0 |         26 |        128 |
| d:\Projects\C\cleonos\cleonos\c\apps\pid_main.c                                            | C                |         39 |          0 |          9 |         48 |
| d:\Projects\C\cleonos\cleonos\c\apps\procstat_main.c                                       | C                |        202 |          0 |         43 |        245 |
| d:\Projects\C\cleonos\cleonos\c\apps\ps_main.c                                             | C                |        160 |          0 |         35 |        195 |
| d:\Projects\C\cleonos\cleonos\c\apps\pwd_main.c                                            | C                |         39 |          0 |          9 |         48 |
| d:\Projects\C\cleonos\cleonos\c\apps\qrcode\qrcodegen.c                                    | C                |        759 |        176 |         96 |      1,031 |
| d:\Projects\C\cleonos\cleonos\c\apps\qrcode\qrcodegen.h                                    | C++              |         62 |        268 |         34 |        364 |
| d:\Projects\C\cleonos\cleonos\c\apps\qrcode_main.c                                         | C                |        207 |          1 |         58 |        266 |
| d:\Projects\C\cleonos\cleonos\c\apps\restart_main.c                                        | C                |         40 |          0 |          9 |         49 |
| d:\Projects\C\cleonos\cleonos\c\apps\rm_main.c                                             | C                |         57 |          0 |         14 |         71 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_cmd.c                                     | C                |      2,499 |          0 |        633 |      3,132 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_external.c                                | C                |        174 |          0 |         57 |        231 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_input.c                                   | C                |        567 |          0 |        148 |        715 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_internal.h                                | C++              |        100 |          0 |         19 |        119 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_path.c                                    | C                |        154 |          0 |         50 |        204 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_script.c                                  | C                |         35 |          0 |         12 |         47 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_util.c                                    | C                |        263 |          0 |         77 |        340 |
| d:\Projects\C\cleonos\cleonos\c\apps\shell_main.c                                          | C                |         18 |          0 |          6 |         24 |
| d:\Projects\C\cleonos\cleonos\c\apps\shstat_main.c                                         | C                |         45 |          0 |          9 |         54 |
| d:\Projects\C\cleonos\cleonos\c\apps\shutdown_main.c                                       | C                |         40 |          0 |          9 |         49 |
| d:\Projects\C\cleonos\cleonos\c\apps\sleep_main.c                                          | C                |         52 |          0 |         12 |         64 |
| d:\Projects\C\cleonos\cleonos\c\apps\sort_main.c                                           | C                |        206 |          0 |         62 |        268 |
| d:\Projects\C\cleonos\cleonos\c\apps\spawn_main.c                                          | C                |         76 |          0 |         18 |         94 |
| d:\Projects\C\cleonos\cleonos\c\apps\spin_main.c                                           | C                |         12 |          0 |          4 |         16 |
| d:\Projects\C\cleonos\cleonos\c\apps\stats_main.c                                          | C                |        103 |          0 |         15 |        118 |
| d:\Projects\C\cleonos\cleonos\c\apps\sysstat_main.c                                        | C                |        341 |          0 |         45 |        386 |
| d:\Projects\C\cleonos\cleonos\c\apps\tail_main.c                                           | C                |        191 |          0 |         53 |        244 |
| d:\Projects\C\cleonos\cleonos\c\apps\taskstat_main.c                                       | C                |         43 |          0 |          9 |         52 |
| d:\Projects\C\cleonos\cleonos\c\apps\top_main.c                                            | C                |        193 |          0 |         45 |        238 |
| d:\Projects\C\cleonos\cleonos\c\apps\touch_main.c                                          | C                |         58 |          0 |         14 |         72 |
| d:\Projects\C\cleonos\cleonos\c\apps\tty_main.c                                            | C                |         64 |          0 |         15 |         79 |
| d:\Projects\C\cleonos\cleonos\c\apps\ttydrv_main.c                                         | C                |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\apps\uniq_main.c                                           | C                |        168 |          0 |         47 |        215 |
| d:\Projects\C\cleonos\cleonos\c\apps\userstat_main.c                                       | C                |         48 |          0 |          9 |         57 |
| d:\Projects\C\cleonos\cleonos\c\apps\wait_main.c                                           | C                |         68 |          0 |         15 |         83 |
| d:\Projects\C\cleonos\cleonos\c\apps\wavplay_main.c                                        | C                |        447 |          0 |        110 |        557 |
| d:\Projects\C\cleonos\cleonos\c\apps\wc_main.c                                             | C                |        165 |          0 |         44 |        209 |
| d:\Projects\C\cleonos\cleonos\c\apps\write_main.c                                          | C                |         74 |          0 |         16 |         90 |
| d:\Projects\C\cleonos\cleonos\c\apps\yield_main.c                                          | C                |         39 |          0 |          9 |         48 |
| d:\Projects\C\cleonos\cleonos\c\include\cleonos_rust_bridge.h                              | C++              |          6 |          0 |          4 |         10 |
| d:\Projects\C\cleonos\cleonos\c\include\cleonos_stdio.h                                    | C++              |          4 |          0 |          3 |          7 |
| d:\Projects\C\cleonos\cleonos\c\include\cleonos_syscall.h                                  | C++              |        223 |          0 |         12 |        235 |
| d:\Projects\C\cleonos\cleonos\c\include\ctype.h                                            | C++              |         14 |          0 |          3 |         17 |
| d:\Projects\C\cleonos\cleonos\c\include\dlfcn.h                                            | C++              |          6 |          0 |          3 |          9 |
| d:\Projects\C\cleonos\cleonos\c\include\stdio.h                                            | C++              |         21 |          0 |          7 |         28 |
| d:\Projects\C\cleonos\cleonos\c\include\stdlib.h                                           | C++              |         27 |          0 |         10 |         37 |
| d:\Projects\C\cleonos\cleonos\c\include\string.h                                           | C++              |         25 |          0 |          5 |         30 |
| d:\Projects\C\cleonos\cleonos\c\src\dlfcn.c                                                | C                |         33 |          0 |         16 |         49 |
| d:\Projects\C\cleonos\cleonos\c\src\libc_ctype.c                                           | C                |         34 |          0 |         12 |         46 |
| d:\Projects\C\cleonos\cleonos\c\src\libc_stdlib.c                                          | C                |        198 |          0 |         57 |        255 |
| d:\Projects\C\cleonos\cleonos\c\src\libc_string.c                                          | C                |        340 |          0 |        106 |        446 |
| d:\Projects\C\cleonos\cleonos\c\src\runtime.c                                              | C                |         41 |          0 |         13 |         54 |
| d:\Projects\C\cleonos\cleonos\c\src\stdio.c                                                | C                |        570 |          0 |        143 |        713 |
| d:\Projects\C\cleonos\cleonos\c\src\syscall.c                                              | C                |        278 |          0 |         92 |        370 |
| d:\Projects\C\cleonos\cleonos\c\stub.c                                                     | C                |          3 |          4 |          2 |          9 |
| d:\Projects\C\cleonos\cleonos\rust\src\lib.rs                                              | Rust             |         23 |          0 |          9 |         32 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\README.md                            | Markdown         |         51 |          0 |         17 |         68 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\Makefile                 | Makefile         |         34 |          7 |         14 |         55 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\am_map.c                 | C                |        970 |        162 |        224 |      1,356 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\am_map.h                 | C++              |         13 |         24 |         13 |         50 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\config.h                 | C++              |         33 |         34 |         34 |        101 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_englsh.h               | C++              |        522 |         65 |        107 |        694 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_event.c                | C                |         22 |         27 |         15 |         64 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_event.h                | C++              |         43 |         66 |         29 |        138 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_items.c                | C                |         77 |         38 |         14 |        129 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_items.h                | C++              |         14 |         18 |         10 |         42 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_iwad.c                 | C                |        509 |        133 |        207 |        849 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_iwad.h                 | C++              |         28 |         16 |          9 |         53 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_loop.c                 | C                |        464 |        169 |        194 |        827 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_loop.h                 | C++              |         23 |         34 |         25 |         82 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_main.c                 | C                |      1,089 |        418 |        339 |      1,846 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_main.h                 | C++              |         11 |         24 |         16 |         51 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_mode.c                 | C                |        150 |         28 |         32 |        210 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_mode.h                 | C++              |         58 |         24 |         17 |         99 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_net.c                  | C                |        158 |         61 |         63 |        282 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_player.h               | C++              |         82 |         77 |         51 |        210 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_textur.h               | C++              |         10 |         22 |         12 |         44 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_think.h                | C++              |         19 |         29 |         21 |         69 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_ticcmd.h               | C++              |         17 |         26 |         14 |         57 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\deh_main.h               | C++              |         19 |         19 |         11 |         49 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\deh_misc.h               | C++              |         55 |         17 |         12 |         84 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\deh_str.h                | C++              |         18 |         17 |         13 |         48 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doom.h                   | C++              |          4 |         27 |         12 |         43 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomdata.h               | C++              |         93 |         70 |         51 |        214 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomdef.c                | C                |          1 |         20 |          8 |         29 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomdef.h                | C++              |         86 |         48 |         35 |        169 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomfeatures.h           | C++              |          6 |         22 |         13 |         41 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric.c            | C                |         15 |          1 |         12 |         28 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric.h            | C++              |         31 |          1 |         18 |         50 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric.vcxproj      | XML              |        339 |          0 |          0 |        339 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_allegro.c    | C                |        319 |         16 |        119 |        454 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_emscripten.c | C                |        184 |          5 |         31 |        220 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_linuxvt.c    | C                |        412 |         39 |         78 |        529 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_sdl.c        | C                |        173 |          9 |         29 |        211 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_soso.c       | C                |        217 |          6 |         54 |        277 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_sosox.c      | C                |        197 |          3 |         48 |        248 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_win.c        | C                |        171 |          2 |         37 |        210 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_xlib.c       | C                |        161 |          7 |         46 |        214 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomkeys.h               | C++              |         61 |         23 |         14 |         98 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomstat.c               | C                |          7 |         19 |         10 |         36 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomstat.h               | C++              |         77 |        108 |         97 |        282 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomtype.h               | C++              |         40 |         35 |         30 |        105 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\dstrings.c               | C                |         37 |         22 |         15 |         74 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\dstrings.h               | C++              |          8 |         22 |         12 |         42 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\dummy.c                  | C                |          8 |         30 |         16 |         54 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_finale.c               | C                |        528 |         77 |        114 |        719 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_finale.h               | C++              |          9 |         23 |         14 |         46 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_wipe.c                 | C                |        220 |         31 |         44 |        295 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_wipe.h                 | C++              |         29 |         22 |         13 |         64 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\g_game.c                 | C                |      1,572 |        319 |        413 |      2,304 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\g_game.h                 | C++              |         29 |         28 |         24 |         81 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\gusconf.c                | C                |        190 |         24 |         58 |        272 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\gusconf.h                | C++              |          7 |         16 |          7 |         30 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\hu_lib.c                 | C                |        252 |         32 |         64 |        348 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\hu_lib.h                 | C++              |         77 |         59 |         47 |        183 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\hu_stuff.c               | C                |        493 |         51 |         98 |        642 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\hu_stuff.h               | C++              |         21 |         23 |         16 |         60 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\i_allegromusic.c         | C                |        192 |         38 |         79 |        309 |
| d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\i_allegrosound.c         | C                |        255 |         73 |        106 |        434 |
